Date,Open,High,Low,Close,SMAVG (12)  on Close,Volume,SMAVG (15),ATR(5) (KOSPI),RSI (14)  on Close (KOSPI)
2014-08-03,2035.96,2093.08,2035.96,2073.1,2007.77,1760000000,1187894016,38.2091,64.511
2014-07-27,2028.02,2036.2,2016.42,2033.85,1998.06,1500000000,1139894016,27.6986,59.0994
2014-07-20,1998.26,2025.41,1993.57,2019.42,1991.86,1570000000,1112560640,31.6579,56.8534
2014-07-13,2007.53,2009.32,1985.53,1988.74,1987.88,1370000000,1083227392,29.1518,51.6069
2014-07-06,1996.13,2018.35,1987.89,2009.66,1989.17,1260000000,1069894016,31.6627,55.9117
2014-06-29,1975.1,1998.31,1971.61,1988.51,1988.15,1310000000,1066560640,32.2641,52.1659
2014-06-22,1986.86,2002.96,1965.12,1968.07,1988.12,1180000000,1066560640,33.2761,48.2178
2014-06-15,2004.73,2016.78,1984.04,1990.85,1989.2,1160000000,1057894016,30.9941,52.721
2014-06-08,1998.81,2008.56,1986.95,1995.48,1984.54,754430016,1052560640,30.1212,53.6669
2014-06-01,2016.21,2021.96,1988.44,1994.96,1978.24,1100000000,1074265344,34.3767,53.58
2014-05-25,2013.79,2022.59,2001.74,2017.17,1976.55,1210000000,1071598656,34.8051,57.8838
2014-05-18,1956.26,2015.37,1950.91,2013.44,1973.45,1170000000,1074931968,41.7827,57.3496
2014-05-11,1964.19,1964.19,1934.72,1956.55,1968.82,620680000,1052322688,30.444,48.0092
2014-05-04,1969.04,1976.56,1955.15,1959.44,1967.46,753299968,1098944000,30.9311,48.5103
2014-04-27,2006.21,2013.09,1971.66,1971.66,1964.38,1100000000,1142057344,35.6916,50.5835
2014-04-20,1993.81,2009.04,1984.98,2004.28,1961.84,1040000000,1144723968,32.8224,56.5766
2014-04-13,1984.29,2008.98,1977.61,1997.44,1956.53,1090000000,1113292672,37.2036,55.5512
2014-04-06,1988.73,2007.88,1973.05,1988.09,1952.12,1130000000,1099025280,40.1203,54.1777
2014-03-30,1937.06,1985.5,1936.62,1981,1947.99,1170000000,1105692032,42.7655,53.1586
2014-03-23,1921.15,1948.15,1919.37,1934.94,1945.08,1210000000,1104358656,38.8683,45.9
2014-03-16,1967.63,1967.66,1913.64,1919.9,1950.69,1310000000,1101692032,43.9124,43.2329
2014-03-09,1967.9,1983.53,1952.61,1974.68,1955.98,1050000000,1106358656,35.3485,51.8842
2014-03-02,1958.06,1981.15,1943.86,1979.99,1955,1080000000,1149692032,37.5628,52.8358
2014-02-23,1951.74,1957.83,1927.53,1957.83,1955.04,1080000000,1169025280,37.6992,49.2269
2014-02-16,1928.13,1946.81,1916.4,1940.28,1962.29,1060000000,1188358656,41.3988,46.1996
2014-02-09,1930.09,1931.81,1885.53,1922.5,1967.79,1260000000,1209692032,46.8932,43.0024
2014-02-02,1905.91,1941.71,1899.76,1941.15,1974.71,830860032,1227025280,42.5298,45.6444
2014-01-26,1945.99,1970.42,1924.49,1940.56,1978.36,1320000000,1257634688,42.8197,45.5461
2014-01-19,1947.38,1965.27,1939.31,1944.48,1986.59,1400000000,1240301312,41.2645,46.0599
2014-01-12,1947.62,1966.95,1931.16,1938.54,1994.09,1140000000,1216967936,48.5318,45.1899
2014-01-05,2004.32,2013.89,1936.15,1946.14,2003.58,568529984,1233634688,54.9027,46.0727
